Date,IWDA.AS,EXSA.DE,EMIM.AS,IEAG.AS,IBGL.AS,4GLD.DE,EQQQ.DE,IPRP.AS,IUSN.DE,BTCE.DE,CL2.PA
2015-10-27,37.72999954223633,27.421003341674805,19.540000915527344,105.24690246582031,187.7276153564453,33.959999084472656,97.0129165649414,27.25347328186035,,,3.2336299419403076
2015-10-28,38.04999923706055,27.692216873168945,19.600000381469727,105.37712860107422,188.34014892578125,34.2599983215332,97.3628158569336,27.55689811706543,,,3.2820699214935303
2015-10-29,38.31999969482422,27.714200973510742,19.389999389648438,104.90827178955078,186.29847717285156,33.709999084472656,98.6678466796875,27.60441780090332,,,3.369499921798706
2015-10-30,38.150001525878906,27.72886085510254,19.31999969482422,104.9516830444336,186.15965270996094,33.29999923706055,98.14773559570312,27.54593276977539,,,3.3329999446868896
2015-11-02,38.209999084472656,27.802156448364258,19.5,104.69122314453125,184.41197204589844,33.119998931884766,98.33214569091797,27.571521759033203,,,3.347369909286499
2015-11-03,38.630001068115234,27.912109375,19.84000015258789,104.68252563476562,183.78311157226562,32.97999954223633,99.61351776123047,27.23885726928711,,,3.432569980621338
2015-11-04,38.875,28.014732360839844,20.020000457763672,104.59571838378906,182.9501495361328,32.959999084472656,100.32279968261719,27.16208267211914,,,3.478800058364868
2015-11-05,38.744998931884766,27.919431686401367,19.950000762939453,104.49153137207031,181.73330688476562,32.709999084472656,100.01069641113281,27.187671661376953,,,3.457930088043213
2015-11-06,38.994998931884766,28.014732360839844,19.799999237060547,103.99665069580078,179.28329467773438,32.54999923706055,101.30156707763672,27.019514083862305,,,3.5206298828125
2015-11-09,38.60499954223633,27.670211791992188,19.5,104.08345031738281,178.14810180664062,32.61000061035156,99.72039794921875,26.41631507873535,,,3.445930004119873
2015-11-10,38.8650016784668,27.77284049987793,19.469999313354492,104.33524322509766,179.601806640625,32.869998931884766,100.41261291503906,26.430931091308594,,,3.501070022583008
2015-11-11,38.89500045776367,27.93410301208496,19.450000762939453,104.50020599365234,180.32861328125,32.54999923706055,100.3416976928711,26.68317985534668,,,3.4842300415039062
2015-11-12,38.40999984741211,27.486976623535156,19.350000381469727,104.5783462524414,181.39999389648438,32.2400016784668,99.53789520263672,26.45287322998047,,,3.4062299728393555
2015-11-13,38.06999969482422,27.2744140625,18.979999542236328,104.79539489746094,182.79202270507812,32.459999084472656,98.08908081054688,26.149442672729492,,,3.341399908065796
2015-11-16,38.11000061035156,27.377012252807617,19.06999969482422,104.83013916015625,183.08029174804688,32.599998474121094,97.43374633789062,26.39437484741211,,,3.3315000534057617
2015-11-17,39.064998626708984,28.06602668762207,19.510000228881836,104.87355041503906,183.2532958984375,32.5,100.10530853271484,26.829404830932617,,,3.4972000122070312
2015-11-18,39.060001373291016,28.022064208984375,19.489999771118164,105.02114868164062,184.43942260742188,32.31999969482422,100.60648345947266,26.887897491455078,,,3.5103299617767334
2015-11-19,39.064998626708984,28.0880184173584,19.600000381469727,105.2034912109375,185.67491149902344,32.43000030517578,100.57814025878906,27.088964462280273,,,3.4933700561523438
2015-11-20,39.459999084472656,28.14666175842285,20.040000915527344,105.35108947753906,186.76220703125,32.540000915527344,102.04395294189453,27.421634674072266,,,3.590630054473877
2015-11-23,39.57500076293945,28.05870819091797,19.959999084472656,105.19479370117188,185.4278106689453,32.40999984741211,102.62552642822266,27.125520706176758,,,3.621429920196533
2015-11-24,39.189998626708984,27.70687484741211,19.799999237060547,105.13402557373047,185.45254516601562,32.47999954223633,101.47651672363281,26.48577117919922,,,3.560070037841797
2015-11-25,39.525001525878906,28.0806884765625,19.799999237060547,105.48126983642578,186.52330017089844,32.470001220703125,102.2141342163086,26.993915557861328,,,3.6115000247955322
2015-11-26,39.73500061035156,28.373884201049805,19.8799991607666,105.44657897949219,186.5892333984375,32.470001220703125,102.7531967163086,27.096275329589844,,,3.6377298831939697
2015-11-27,39.6150016784668,28.30790901184082,19.56999969482422,105.49867248535156,186.8692626953125,32.11000061035156,102.67752838134766,27.13283920288086,,,3.6312999725341797
2015-11-30,39.650001525878906,28.44719123840332,19.489999771118164,105.29898834228516,186.1032257080078,32.349998474121094,102.49787139892578,27.08165740966797,,,3.6308300495147705
2015-12-01,39.630001068115234,28.337230682373047,19.510000228881836,105.34239959716797,185.48548889160156,32.2599983215332,102.57823944091797,27.447223663330078,,,3.6166300773620605
2015-12-02,39.79499816894531,28.359230041503906,19.469999313354492,105.51604461669922,186.25148010253906,32.11000061035156,103.62322998046875,27.147457122802734,,,3.6569700241088867
2015-12-03,38.244998931884766,27.377012252807617,18.84000015258789,104.3960189819336,181.36705017089844,31.31999969482422,99.42723846435547,26.434589385986328,,,3.3631999492645264
2015-12-04,38.27000045776367,27.355037689208984,18.829999923706055,104.28314208984375,181.28468322753906,32.08000183105469,99.6891860961914,26.270078659057617,,,3.3728299140930176
2015-12-07,38.30500030517578,27.508960723876953,18.65999984741211,104.78672790527344,183.9369354248047,31.93000030517578,100.14310455322266,26.569852828979492,,,3.3816299438476562
2015-12-08,37.88999938964844,26.995868682861328,18.350000381469727,104.89091491699219,184.6947021484375,31.770000457763672,99.91423797607422,26.463838577270508,,,3.37103009223938
2015-12-09,37.61000061035156,26.86393928527832,18.200000762939453,104.73462677001953,183.9122314453125,31.420000076293945,98.53544616699219,26.22620964050293,,,3.3166699409484863
2015-12-10,37.564998626708984,26.819957733154297,18.09000015258789,104.84751892089844,184.2252197265625,31.540000915527344,98.45980072021484,26.100505828857422,,,3.2441298961639404
2015-12-11,36.779998779296875,26.277545928955078,17.520000457763672,104.98643493652344,185.1065673828125,31.479999542236328,96.3131103515625,25.811471939086914,,,3.1315701007843018
2015-12-14,36.17499923706055,25.808433532714844,17.420000076293945,104.68252563476562,183.68154907226562,31.170000076293945,94.36783599853516,25.544397354125977,,,3.0932700634002686
2015-12-15,37.28499984741211,26.55445098876953,18.110000610351562,104.35260009765625,182.0836639404297,31.219999313354492,97.98503112792969,26.045625686645508,,,3.2438299655914307
2015-12-16,37.3849983215332,26.635478973388672,18.139999389648438,104.19631958007812,181.63890075683594,31.610000610351562,97.64651489257812,26.14440155029297,,,3.245800018310547
2015-12-17,37.84000015258789,26.97430992126465,18.469999313354492,104.63912200927734,183.4756622314453,31.270000457763672,99.2286376953125,26.42247200012207,,,3.3285999298095703
2015-12-18,37.345001220703125,26.701763153076172,18.399999618530273,104.94302368164062,185.19715881347656,31.6299991607666,97.60869598388672,26.491975784301758,,,3.2232699394226074
2015-12-21,36.845001220703125,26.34084129333496,18.200000762939453,104.82146453857422,184.55470275878906,31.729999542236328,96.01995849609375,26.129776000976562,,,3.1333301067352295
2015-12-22,36.95000076293945,26.407129287719727,18.260000228881836,104.46549987792969,183.24502563476562,31.530000686645508,96.67720794677734,26.272457122802734,,,3.1540000438690186
2015-12-23,37.92499923706055,27.040607452392578,18.719999313354492,104.35260009765625,182.067138671875,31.59000015258789,98.31131744384766,26.517587661743164,,,3.315700054168701
2015-12-24,37.810001373291016,,18.6200008392334,104.26579284667969,181.696533203125,,,26.532215118408203,,,983.2529907226562
2015-12-28,37.415000915527344,26.85645866394043,18.3799991607666,104.81278228759766,183.7639617919922,31.299999237060547,97.01761627197266,26.506610870361328,,,3.2144999504089355
2015-12-29,38.185001373291016,27.342622756958008,18.600000381469727,104.3960189819336,181.28468322753906,31.5,99.68347930908203,26.88710594177246,,,3.355600118637085
2015-12-30,38.05500030517578,27.180561065673828,18.360000610351562,104.41339111328125,181.77891540527344,31.450000762939453,99.53189849853516,26.898080825805664,,,3.3407700061798096
2016-01-04,37.060001373291016,26.33348274230957,17.90999984741211,104.74331665039062,183.17916870117188,31.969999313354492,95.84130096435547,26.26880645751953,,,3.173229932785034
2016-01-05,37.54499816894531,26.539716720581055,18.209999084472656,104.82146453857422,183.44271850585938,32.34000015258789,97.3336181640625,26.440757751464844,,,3.270970106124878
2016-01-06,37.06999969482422,26.171417236328125,17.889999389648438,104.98643493652344,184.12637329101562,32.63999938964844,96.32455444335938,26.206607818603516,,,3.204629898071289
2016-01-07,36.150001525878906,25.552677154541016,17.43000030517578,104.73462677001953,182.67672729492188,32.790000915527344,93.60992431640625,25.70903205871582,,,3.0474700927734375
2016-01-08,35.369998931884766,25.162273406982422,16.90999984741211,104.93433380126953,183.895751953125,32.630001068115234,91.2221450805664,25.493173599243164,,,2.905630111694336
2016-01-11,35.18000030517578,25.1328067779541,16.81999969482422,104.68252563476562,182.98971557617188,32.47999954223633,90.72943878173828,25.346824645996094,,,2.8642001152038574
2016-01-12,35.5099983215332,25.31696319580078,16.959999084472656,104.63045501708984,183.1050262451172,32.290000915527344,92.1744155883789,25.646833419799805,,,2.914370059967041
2016-01-13,35.67499923706055,25.493751525878906,17.06999969482422,104.76068115234375,184.43115234375,32.2400016784668,92.58660125732422,25.500490188598633,,,2.9398701190948486
2016-01-14,35.064998626708984,25.02232551574707,16.81999969482422,104.71722412109375,184.09341430664062,32.06999969482422,89.96195983886719,25.244386672973633,,,2.8290700912475586
2016-01-15,34.20500183105469,24.337284088134766,16.190000534057617,104.76969909667969,185.01597595214844,31.969999313354492,87.61686706542969,24.83097267150879,,,2.703399896621704
2016-01-18,34.32500076293945,24.248891830444336,16.3799991607666,104.79592895507812,184.5464630126953,32.16999816894531,88.32274627685547,24.362659454345703,,,2.7441298961639404
2016-01-19,34.630001068115234,24.60982894897461,16.59000015258789,104.80464172363281,184.71119689941406,32.040000915527344,88.61650085449219,24.684621810913086,,,2.77197003364563
2016-01-20,33.46500015258789,23.814302444458008,16.020000457763672,104.80464172363281,184.9418487548828,32.560001373291016,86.29978942871094,24.062658309936523,,,2.602169990539551
2016-01-21,34.345001220703125,24.2930908203125,16.399999618530273,105.01454162597656,186.3997802734375,32.52000045776367,89.22289276123047,24.238277435302734,,,2.755429983139038
2016-01-22,35.02000045776367,24.933937072753906,16.799999237060547,105.00578308105469,185.4278106689453,32.709999084472656,90.76258850097656,25.38707733154297,,,2.825129985809326
2016-01-25,34.86000061035156,24.838171005249023,16.739999771118164,105.11946868896484,185.971435546875,32.900001525878906,90.9142074584961,25.606590270996094,,,2.809530019760132
2016-01-26,34.91999816894531,25.05915641784668,16.75,105.25939178466797,187.48703002929688,33.13999938964844,90.27937316894531,25.65414810180664,,,2.8004701137542725
2016-01-27,35.084999084472656,25.1549129486084,16.809999465942383,105.32061767578125,187.6023406982422,33.060001373291016,89.55928039550781,25.116342544555664,,,2.815730094909668
2016-01-28,34.4900016784668,24.668752670288086,16.719999313354492,105.44303131103516,188.5413360595703,32.7599983215332,87.95796203613281,25.40902328491211,,,2.718869924545288
2016-01-29,35.470001220703125,25.25066566467285,17.290000915527344,105.97645568847656,190.5594024658203,33.220001220703125,90.73893737792969,26.0310001373291,,,2.8726699352264404
2016-02-01,35.459999084472656,25.243303298950195,17.200000762939453,105.78406524658203,189.4803009033203,33.279998779296875,91.17479705810547,25.902938842773438,,,2.8890700340270996
2016-02-02,35.025001525878906,24.712949752807617,16.889999389648438,105.89775848388672,189.4226837158203,33.209999084472656,90.51624298095703,25.65414810180664,,,2.8340001106262207
2016-02-03,34.13999938964844,24.300453186035156,16.559999465942383,106.11638641357422,190.93821716308594,33.189998626708984,86.70723724365234,25.730989456176758,,,2.671299934387207
2016-02-04,34.130001068115234,24.248891830444336,16.809999465942383,105.92398071289062,190.00747680664062,33.18000030517578,86.30928039550781,25.6358642578125,,,2.6679699420928955
2016-02-05,33.845001220703125,24.050012588500977,16.75,105.89775848388672,189.89215087890625,33.380001068115234,84.49478912353516,25.204143524169922,,,2.619570016860962
